Dates,Axis,BOB,BOI,CBI,City Union,DCB,Federal,HDFC,ICICI,Kotak,PNB,RBL,SBI,UCO,Union Bank,Yes Bank,Bajaj Finance,Bajaj Finserv,BF investment,Cholmandalam Finance Holding,edelweiss,IDFC,HDFC fin,KILC,LT,Motilal Oswal,Reliance Capital,SBI.1,Shriram Finance,Tata Investment,HCL info,HCL tech,Infosys,Mphasis,Naukri,Oracle,TCS,Tech Mahindra,Wipro,Aarti,Ajanta Pharma,Alembic,Biocon,Cipla,Dr. Reddys,Indoco,JB,Lupin,Natco,Panacea,Piramal,Sun,Aditya Birla Fashion,Future Lifestyle,PC jewellers,Future,rajesh exports,Shoppers Stop,Titan,Trent,Arvind,Bombay Dyeing,Grasim,KPR Mill,Page Ind,Raymond,SRF,Vardhman,Welspun
2023-07-31,953.35,202.15,86.0,30.21,135.45,127.5,135.5,1642.55,995.35,1864.05,61.95,236.0,615.4,28.88,90.15,16.97,7379.95,1575.0,376.1,949.95,47.31,116.6,1642.55,1873.8,133.0,836.0,10.24,615.4,1825.2,2475.25,16.01,1103.55,1342.55,2251.05,4580.05,3829.9,3356.05,1091.1,398.8,90.15,1624.8,775.0,256.8,1180.0,5580.0,317.15,2429.95,973.85,835.0,135.0,1081.05,1138.05,224.85,5.58,29.3,0.86,513.2,800.5,2960.0,1721.05,127.95,111.3,1830.0,641.1,36781.0,1915.95,2189.5,364.65,230.0
2023-07-28,959.75,199.0,85.0,30.36,135.5,129.35,134.7,1663.95,990.0,1873.95,62.5,234.55,616.1,29.3,89.7,16.98,7318.0,1619.0,387.95,924.35,48.05,114.2,1663.95,1861.75,131.2,858.75,10.77,616.1,1829.95,2446.25,16.73,1116.95,1350.35,2282.5,4570.8,3800.0,3389.85,1100.35,400.15,89.7,1625.1,734.75,257.95,1171.55,5518.75,321.95,2442.4,982.55,835.25,125.3,1097.8,1134.95,217.35,6.17,30.05,0.86,506.65,797.9,3000.7,1715.0,126.05,112.6,1813.5,630.95,37081.05,1911.2,2178.85,358.4,241.95
2023-07-27,985.0,197.65,84.51,30.6,132.9,125.85,134.85,1697.0,1000.0,1889.95,63.7,242.85,614.3,29.22,91.41,16.97,7596.95,1643.95,376.65,926.0,47.76,117.4,1697.0,1831.0,130.5,836.75,11.33,614.3,1841.95,2464.0,16.82,1112.05,1353.05,2257.0,4530.1,3797.95,3385.05,1100.05,404.3,91.41,1505.0,695.1,250.0,1112.0,5535.0,318.8,2528.1,950.05,799.0,122.9,1090.0,1121.05,215.05,6.16,32.05,0.85,512.35,781.85,3002.05,1725.95,136.0,112.1,1811.5,628.05,37799.0,1809.95,2150.55,363.5,234.85
2023-07-26,965.0,196.55,83.2,30.28,129.7,125.2,133.4,1694.65,992.95,1870.15,60.92,224.7,611.5,28.63,89.0,17.04,7625.0,1648.25,376.85,908.05,48.68,114.05,1694.65,1814.85,127.1,782.45,11.92,611.5,1838.95,2376.0,17.01,1108.15,1341.0,2266.1,4621.05,3865.0,3385.05,1153.7,403.1,89.0,1511.15,682.05,246.05,1056.15,5426.35,323.4,2486.65,937.35,780.05,122.6,1035.05,1094.4,217.6,5.85,33.32,0.84,516.85,760.8,3038.25,1715.2,136.0,113.2,1836.6,639.85,37200.1,1760.55,2144.2,379.9,235.95
2023-07-25,976.25,201.15,84.99,30.91,130.55,124.25,134.95,1683.6,1000.0,1912.7,62.4,222.85,620.3,28.8,88.72,17.4,7630.2,1660.05,378.65,935.9,47.61,113.9,1683.6,1795.25,131.8,739.5,11.36,620.3,1812.0,2364.0,16.7,1115.6,1332.05,2280.0,4570.0,3843.4,3394.2,1162.2,406.0,88.72,1424.7,686.9,250.15,1045.25,5400.95,331.85,2481.3,935.05,770.05,122.05,988.6,1101.5,214.1,5.6,30.32,0.83,518.45,741.35,2961.05,1706.05,133.65,113.0,1812.65,625.0,37514.35,1794.45,2069.95,365.0,238.95
2023-07-24,973.4,197.2,84.6,31.25,130.1,122.65,134.95,1676.6,1008.0,1957.95,63.0,224.35,614.1,29.03,91.05,18.37,7582.0,1622.05,379.5,922.0,48.26,113.5,1676.6,1812.95,128.6,731.0,10.8,614.1,1833.05,2402.05,16.31,1117.05,1335.05,2331.0,4630.0,3840.0,3374.0,1194.4,404.6,91.05,1411.3,690.65,259.15,1042.05,5278.2,332.05,2505.1,943.95,770.05,126.0,994.55,1085.2,212.85,5.34,30.99,0.82,511.05,784.25,2970.05,1721.05,135.05,116.35,1802.6,644.95,36849.95,1789.45,2234.95,363.05,233.0
2023-07-21,970.6,198.95,83.59,30.85,128.65,124.0,136.5,1680.0,993.8,1956.8,63.85,219.65,610.8,28.8,89.66,17.66,7585.05,1634.95,377.3,921.05,48.51,112.0,1680.0,1819.0,131.0,745.95,10.3,610.8,1774.25,2315.95,15.96,1112.95,1321.0,2105.05,4515.05,3888.05,3423.95,1202.95,403.05,89.66,1434.85,713.35,265.05,1040.05,5329.9,331.15,2519.95,947.95,777.0,125.1,977.95,1107.95,214.3,4.9,31.89,0.79,516.55,774.75,2986.0,1714.5,137.0,112.7,1822.0,637.05,36640.05,1800.05,2211.95,370.25,231.3
2023-07-20,961.7,199.95,80.25,31.18,129.2,125.0,137.55,1683.7,974.0,1900.0,64.3,213.6,600.6,28.5,85.6,17.43,7551.25,1646.05,382.25,916.05,49.93,112.5,1683.7,1855.0,138.2,744.0,9.82,600.6,1790.3,2367.0,16.7,1160.0,1474.0,2142.45,4670.05,3958.0,3457.0,1249.75,418.05,85.6,1406.9,662.5,267.05,1036.05,5226.0,330.25,2511.4,932.4,714.65,123.05,977.95,1086.7,213.75,4.79,29.22,0.81,524.85,762.35,3013.95,1720.25,140.1,112.2,1787.7,657.0,36697.95,1844.95,2250.0,373.2,238.7
2023-07-19,963.1,198.2,79.5,31.24,130.05,124.6,136.0,1680.0,978.05,1892.05,61.8,219.3,594.0,28.0,83.02,17.54,7421.1,1618.0,379.5,918.0,49.3,111.25,1680.0,1894.75,131.4,741.9,9.36,594.0,1780.25,2399.85,15.56,1167.0,1482.35,2110.2,4685.05,3949.95,3495.05,1259.95,418.05,83.02,1420.95,670.2,265.05,1027.05,5144.8,328.45,2519.85,934.35,710.05,126.6,968.4,1065.25,212.0,4.7,30.1,0.81,512.7,782.8,3003.2,1687.95,140.05,113.75,1773.15,660.1,36505.55,1837.15,2218.05,372.85,226.25
2023-07-18,965.2,202.2,80.01,31.85,131.2,126.5,133.05,1695.0,975.0,1898.0,62.8,226.65,602.85,28.69,83.89,17.71,7525.0,1612.0,380.9,915.5,49.51,113.2,1695.0,1849.0,131.15,747.0,8.8,602.85,1785.95,2355.0,14.21,1154.05,1433.9,2081.85,4722.05,3978.0,3486.0,1244.95,418.45,83.89,1456.95,668.0,265.0,1033.0,5229.95,332.0,2547.05,933.95,720.2,124.6,980.05,1077.6,215.95,4.59,31.1,0.8,523.85,790.05,3031.0,1700.0,138.2,115.5,1796.0,666.15,36630.05,1877.95,2259.95,379.75,235.0
